freq_hz,phon_0,phon_10,phon_20,phon_30,phon_40,phon_50,phon_60,phon_70,phon_80,phon_90,phon_100
20,78.0,83.6,89.5,94.7,99.7,104.5,109.3,114.0,118.8,123.5,128.2
25,69.1,76.4,83.2,89.0,94.3,99.4,104.4,109.5,114.4,119.4,124.3
31.5,59.9,69.2,76.7,82.9,88.6,94.0,99.3,104.6,109.9,115.1,120.4
40,51.2,62.2,70.3,76.9,82.9,88.7,94.4,100.0,105.6,111.1,116.6
50,44.4,56.0,64.7,71.7,78.1,84.2,90.1,96.1,101.9,107.9,113.7
63,37.9,49.8,59.2,66.5,73.3,79.7,86.0,92.3,98.5,104.7,110.9
80,31.7,44.1,53.7,61.5,68.6,75.5,82.1,88.8,95.3,101.9,108.5
100,26.8,38.9,49.0,57.1,64.6,71.7,78.7,85.7,92.6,99.5,106.5
125,22.3,34.4,44.5,53.0,60.8,68.3,75.7,83.0,90.2,97.4,104.7
160,18.0,29.3,39.7,48.6,56.8,64.7,72.4,80.2,87.8,95.6,103.3
200,14.7,25.5,36.0,45.1,53.6,61.9,69.9,78.0,86.0,94.0,102.1
250,11.4,21.9,32.3,41.7,50.5,59.1,67.6,76.0,84.4,92.8,101.2
315,8.7,18.5,29.2,38.7,47.8,56.7,65.5,74.3,83.0,91.7,100.4
400,6.2,15.6,26.2,35.9,45.2,54.6,63.7,72.7,81.8,90.8,99.9
500,4.4,13.4,23.8,33.7,43.4,52.8,62.2,71.5,80.9,90.2,99.6
630,3.1,11.5,21.8,31.7,41.5,51.3,60.9,70.6,80.2,89.8,99.5
800,2.2,10.1,20.3,30.3,40.3,50.1,60.0,69.8,79.7,89.5,99.3
1000,2.4,10.0,20.0,29.9,40.0,49.9,59.9,69.9,79.9,89.9,99.9
1250,3.4,11.4,21.5,31.7,41.8,51.9,62.1,72.3,82.4,92.5,
1600,1.7,10.7,21.8,32.3,42.8,53.0,63.3,73.7,83.9,94.0,
2000,-1.2,7.7,18.6,29.1,39.6,50.0,60.3,70.6,80.9,91.2,
2500,-4.1,4.8,15.7,26.3,36.7,47.2,57.5,67.8,78.2,88.5,
3150,-6.0,3.2,14.3,25.2,35.6,46.1,56.5,66.8,77.2,87.6,
4000,-5.4,4.1,15.4,26.3,36.8,47.3,57.7,68.1,78.5,88.8,
5000,-1.7,7.5,18.8,29.5,40.1,50.5,60.9,71.2,81.6,,
6300,5.8,14.4,25.0,35.4,45.8,56.0,66.3,76.5,86.8,,
8000,12.5,20.9,31.5,41.6,51.7,61.6,71.5,81.4,91.3,,
10000,13.9,23.7,34.7,44.8,54.4,63.9,73.2,82.6,91.9,,
12500,12.3,,33.3,42.8,51.7,60.4,69.0,77.5,86.1,,
